"Id","Name","Weight","BaseValue","Obtaining","DlcId"
"1","Blue Butterfly Wing","0.1","2","Blue Butterfly",""
"2","Red Mountain Flower","0.1","2","Mountain flower clumps",""
"3","Purple Mountain Flower","0.1","2","Mountain flower clumps",""
"4","Powdered Mammoth Tusk","0.1","2","Giant Camps, Alchemy Laboratory of a Homestead†",""
"5","Poison Bloom","0.3","5","Darkfall Cave","1"
"6","Pine Thrush Egg","0.5","2","Nests in forests",""
"7","Pearl","0.1","2","Satchels; Alchemy Laboratory of a Homestead† Pearl Oyster‡",""
"8","Orange Dartwing","0.1","1","Hovering above water",""
"9","Nordic Barnacle","0.2","5","Underwater",""
"10","Nirnroot","0.2","10","Near water",""
"11","Nightshade","0.1","8","Graveyards, undead areas",""
"12","Netch Jelly","0.5","20","Netch","3"
"13","River Betty","0.3","15","Lakes, rivers, streams and fish barrels",""
"14","Namira's Rot","0.3","0","Caves",""
"15","Mora Tapinella","0.3","4","Dead Trees",""
"16","Moon Sugar","0.3","50","Khajiit Caravans",""
"17","Luna Moth Wing","0.1","5","Luna Moth",""
"18","Lavender","0.1","1","Outdoors in clumps",""
"19","Large Antlers","0.1","2","Deer, Elk",""
"20","Juniper Berries","0.1","1","Juniper Trees",""
"21","Jazbay Grapes","0.2","1","Hydro-thermal regions",""
"22","Jarrin Root","0.5","10","Dark Brotherhood quest",""
"23","Imp Stool","0.3","0","Mushroom clusters near caves or dungeons",""
"24","Ice Wraith Teeth","0.3","30","Ice Wraith",""
"25","Human Heart","1","0","Falmer Vampire dens",""
"26","Mudcrab Chitin","0.3","2","Mudcrabs",""
"27","Human Flesh","0.3","1","Falmer Vampire dens",""
"28","Rock Warbler Egg","0.5","2","Rock Warbler Nest",""
"29","Salmon Roe","0.2","5","Salmon jumping up falls, Kitchen of a Homestead†","2"
"30","White Cap","0.3","0","Mushroom clusters near caves or dungeons",""
"31","Wheat","0.1","5","Grows on farms, containers",""
"32","Void Salts","0.2","125","Storm Atronach",""
"33","Vampire Dust","0.2","25","Vampires, the Silver Hand",""
"34","Tundra Cotton","0.1","1","High mountains below snow line, tundra",""
"35","Troll Fat","1","15","Trolls",""
"36","Trama Root","0.2","1","Harvested from ashen areas of Solstheim","3"
"37","Torchbug Thorax","0.1","1","Torchbugs, glowing at night",""
"38","Thistle Branch","0.1","1","Thistle Plant",""
"39","Taproot","0.5","15","Spriggan",""
"40","Swamp Fungal Pod","0.3","5","Swamps",""
"41","Sabre Cat Tooth","0.1","2","Sabre Cat, Snowy Sabre Cat",""
"42","Spriggan Sap","0.2","15","Spriggan",""
"43","Spawn Ash","0.1","20","Ash Spawn","3"
"44","Snowberries","0.1","4","Snowberry bush, snowy areas",""
"45","Small Pearl","0.1","2","Pearl Oyster‡",""
"46","Small Antlers","0.1","2","Elk",""
"47","Slaughterfish Scales","0.1","3","Slaughterfish",""
"48","Slaughterfish Egg","0.2","3","Underwater",""
"49","Skeever Tail","0.2","3","Skeever",""
"50","Silverside Perch","0.3","15","Lakes, rivers, streams and fish barrels",""
"51","Scathecraw","0.1","1","Harvested all over Solstheim","3"
"52","Scaly Pholiota","0.3","4","Dead birch trees",""
"53","Salt Pile","0.2","2","Merchants, containers, near cooking places",""
"54","Spider Egg","0.2","5","Spider lairs",""
"55","Wisp Wrappings","0.1","2","Wispmother",""
"56","Honeycomb","1","5","Beehive",""
"57","Hawk's Egg","0.5","2","Hawk's Nest","2"
"58","Creep Cluster","0.2","1","Hydro-thermal areas",""
"59","Chicken's Egg","0.5","2","Chicken's Nest",""
"60","Chaurus Hunter Antennae","0.1","2","Chaurus Hunter, Chaurus Hunter Fledgling","1"
